,date,total_laid_off
242,2022-07-12,1795.0
243,2022-07-13,971.0
244,2022-07-14,220.0
245,2022-07-15,210.0
246,2022-07-18,192.0
247,2022-07-19,1544.0
248,2022-07-20,923.0
249,2022-07-21,649.0
250,2022-07-22,138.0
251,2022-07-24,120.0
252,2022-07-25,105.0
253,2022-07-26,1271.0
254,2022-07-27,939.0
255,2022-07-28,346.0
256,2022-07-29,1280.0
257,2022-07-31,91.0
258,2022-08-01,58.0
259,2022-08-02,1324.0
260,2022-08-03,249.0
261,2022-08-04,1119.0
262,2022-08-05,291.0
263,2022-08-08,1456.0
264,2022-08-09,1970.0
265,2022-08-10,77.0
266,2022-08-11,416.0
267,2022-08-12,784.0
268,2022-08-14,11.0
269,2022-08-15,486.0
270,2022-08-16,97.0
271,2022-08-17,438.0
272,2022-08-18,145.0
273,2022-08-19,960.0
274,2022-08-20,13.0
275,2022-08-21,155.0
276,2022-08-23,428.0
277,2022-08-24,155.0
278,2022-08-25,65.0
279,2022-08-26,124.0
280,2022-08-29,395.0
281,2022-08-30,149.0
282,2022-08-31,1730.0
283,2022-09-01,327.0
284,2022-09-02,23.0
285,2022-09-06,70.0
286,2022-09-07,441.0
287,2022-09-08,278.0
288,2022-09-09,413.0
289,2022-09-12,96.0
290,2022-09-13,440.0
291,2022-09-14,939.0
292,2022-09-15,298.0
293,2022-09-16,230.0
294,2022-09-19,229.0
295,2022-09-20,533.0
296,2022-09-21,100.0
297,2022-09-22,210.0
298,2022-09-23,300.0
299,2022-09-27,40.0
300,2022-09-28,671.0
301,2022-09-29,165.0
302,2022-09-30,78.0
303,2022-10-02,60.0
304,2022-10-04,40.0
305,2022-10-05,50.0
306,2022-10-06,2711.0
307,2022-10-07,205.0
308,2022-10-10,954.0
309,2022-10-11,1106.0
310,2022-10-12,2780.0
311,2022-10-13,155.0
312,2022-10-14,578.0
313,2022-10-16,24.0
314,2022-10-17,100.0
315,2022-10-18,140.0
316,2022-10-19,302.0
317,2022-10-20,334.0
318,2022-10-21,293.0
319,2022-10-23,85.0
320,2022-10-24,698.0
321,2022-10-25,197.0
322,2022-10-26,1167.0
323,2022-10-27,307.0
324,2022-10-28,250.0
325,2022-10-31,438.0
326,2022-11-01,1209.0
327,2022-11-02,1242.0
328,2022-11-03,2010.0
329,2022-11-04,4379.0
330,2022-11-06,135.0
331,2022-11-07,1890.0
332,2022-11-08,65.0
333,2022-11-09,12749.0
334,2022-11-10,2030.0
335,2022-11-11,160.0
336,2022-11-14,2097.0
337,2022-11-15,1118.0
338,2022-11-16,14926.0
339,2022-11-17,718.0
340,2022-11-18,1905.0
341,2022-11-19,100.0
342,2022-11-21,93.0
343,2022-11-22,240.0
344,2022-11-24,120.0
345,2022-11-25,247.0
346,2022-11-28,1215.0
347,2022-11-29,160.0
348,2022-11-30,3070.0
349,2022-12-01,383.0
350,2022-12-02,247.0
351,2022-12-03,750.0
352,2022-12-05,185.0
353,2022-12-06,1302.0
354,2022-12-07,1786.0
355,2022-12-08,1195.0
356,2022-12-09,1030.0
357,2022-12-10,63.0
358,2022-12-12,764.0
359,2022-12-13,379.0
360,2022-12-14,462.0
361,2022-12-15,330.0
362,2022-12-16,54.0
363,2022-12-20,91.0
364,2022-12-21,350.0
365,2022-12-22,153.0
366,2022-12-23,242.0
367,2022-12-26,150.0
368,2023-01-02,700.0
369,2023-01-03,136.0
370,2023-01-04,16171.0
371,2023-01-05,777.0
372,2023-01-06,515.0
373,2023-01-08,93.0
374,2023-01-09,315.0
375,2023-01-10,2391.0
376,2023-01-11,1605.0
377,2023-01-12,847.0
378,2023-01-13,200.0
